season,week,team_name,opponent,result,team_score,opponent_score,is_bye,is_playoff
2018,15,OBJYN,Jamie's Fine Team,Win,108.50,79.62,false,
2018,15,Jamie's Fine Team,OBJYN,Loss,79.62,108.50,false,
2018,16,Gonna Get a TD,Dave H's Team,Win,128.02,121.80,false,
2018,16,Dave H's Team,Gonna Get a TD,Loss,121.80,128.02,false,
2018,16,Good Times,Going Streaking,Win,111.66,108.98,false,
2018,16,Going Streaking,Good Times,Loss,108.98,111.66,false,
2018,16,Eric's Team,Jamie's Fine Team,Win,129.26,53.84,false,
2018,16,Jamie's Fine Team,Eric's Team,Loss,53.84,129.26,false,
2018,16,angry cat,OBJYN,Loss,101.14,125.04,false,
2018,16,OBJYN,angry cat,Win,125.04,101.14,false,
2019,1,Baker Aker FTW,Gonna Get a TD,Loss,73.80,114.42,false,
2019,1,Gonna Get a TD,Baker Aker FTW,Win,114.42,73.80,false,
2019,1,Good Times,Eric's Team,Win,142.36,100.60,false,
2019,1,Eric's Team,Good Times,Loss,100.60,142.36,false,
2019,1,angry cat,Al's Team,Loss,116.12,130.16,false,
2019,1,Al's Team,angry cat,Win,130.16,116.12,false,
2019,1,OBJYN,PokerA9,Loss,133.16,135.00,false,
2019,1,PokerA9,OBJYN,Win,135.00,133.16,false,
2019,1,Going Streaking,Whiskey DITKA,Loss,118.92,157.62,false,
2019,1,Whiskey DITKA,Going Streaking,Win,157.62,118.92,false,
2019,2,Baker Aker FTW,Eric's Team,Win,129.20,90.66,false,
2019,2,Eric's Team,Baker Aker FTW,Loss,90.66,129.20,false,
2019,2,Good Times,Al's Team,Loss,113.60,147.48,false,
2019,2,Al's Team,Good Times,Win,147.48,113.60,false,
2019,2,angry cat,Whiskey DITKA,Loss,71.34,81.66,false,
2019,2,Whiskey DITKA,angry cat,Win,81.66,71.34,false,
2019,2,OBJYN,Gonna Get a TD,Loss,92.52,130.32,false,
2019,2,Gonna Get a TD,OBJYN,Win,130.32,92.52,false,
2019,2,Going Streaking,PokerA9,Win,123.06,97.02,false,
2019,2,PokerA9,Going Streaking,Loss,97.02,123.06,false,
2019,3,Baker Aker FTW,Good Times,Loss,109.80,116.56,false,
2019,3,Good Times,Baker Aker FTW,Win,116.56,109.80,false,
2019,3,Eric's Team,Going Streaking,Loss,107.30,125.54,false,
2019,3,Going Streaking,Eric's Team,Win,125.54,107.30,false,
2019,3,angry cat,OBJYN,Loss,85.66,115.40,false,
2019,3,OBJYN,angry cat,Win,115.40,85.66,false,
2019,3,Gonna Get a TD,Al's Team,Win,162.66,118.38,false,
2019,3,Al's Team,Gonna Get a TD,Loss,118.38,162.66,false,
2019,3,Whiskey DITKA,PokerA9,Win,131.74,129.82,false,
2019,3,PokerA9,Whiskey DITKA,Loss,129.82,131.74,false,
2019,4,Baker Aker FTW,Gonna Get a TD,Loss,123.88,123.90,false,
2019,4,Gonna Get a TD,Baker Aker FTW,Win,123.90,123.88,false,
2019,4,Good Times,PokerA9,Win,118.68,99.20,false,
2019,4,PokerA9,Good Times,Loss,99.20,118.68,false,
2019,4,Eric's Team,Whiskey DITKA,Win,112.88,81.10,false,
2019,4,Whiskey DITKA,Eric's Team,Loss,81.10,112.88,false,
2019,4,angry cat,OBJYN,Loss,73.82,134.70,false,
2019,4,OBJYN,angry cat,Win,134.70,73.82,false,
2019,4,Going Streaking,Al's Team,Loss,89.00,108.98,false,
2019,4,Al's Team,Going Streaking,Win,108.98,89.00,false,
2019,5,Baker Aker FTW,OBJYN,Loss,102.60,158.86,false,
2019,5,OBJYN,Baker Aker FTW,Win,158.86,102.60,false,
2019,5,Good Times,angry cat,Win,147.12,134.72,false,
2019,5,angry cat,Good Times,Loss,134.72,147.12,false,
2019,5,Eric's Team,Gonna Get a TD,Win,125.22,98.74,false,
2019,5,Gonna Get a TD,Eric's Team,Loss,98.74,125.22,false,
2019,5,Going Streaking,Whiskey DITKA,Loss,115.04,151.54,false,
2019,5,Whiskey DITKA,Going Streaking,Win,151.54,115.04,false,
2019,5,Al's Team,PokerA9,Loss,124.64,135.52,false,
2019,5,PokerA9,Al's Team,Win,135.52,124.64,false,
2019,6,Baker Aker FTW,Al's Team,Win,153.46,121.54,false,
2019,6,Al's Team,Baker Aker FTW,Loss,121.54,153.46,false,
2019,6,Good Times,Whiskey DITKA,Win,115.70,60.60,false,
2019,6,Whiskey DITKA,Good Times,Loss,60.60,115.70,false,
2019,6,Eric's Team,Gonna Get a TD,Loss,77.22,130.92,false,
2019,6,Gonna Get a TD,Eric's Team,Win,130.92,77.22,false,
2019,6,angry cat,PokerA9,Loss,77.22,123.90,false,
2019,6,PokerA9,angry cat,Win,123.90,77.22,false,
2019,6,OBJYN,Going Streaking,Loss,105.80,111.76,false,
2019,6,Going Streaking,OBJYN,Win,111.76,105.80,false,
2019,7,Baker Aker FTW,PokerA9,Win,115.88,58.94,false,
2019,7,PokerA9,Baker Aker FTW,Loss,58.94,115.88,false,
2019,7,Good Times,Gonna Get a TD,Loss,62.06,113.34,false,
2019,7,Gonna Get a TD,Good Times,Win,113.34,62.06,false,
2019,7,Eric's Team,Al's Team,Win,140.86,119.72,false,
2019,7,Al's Team,Eric's Team,Loss,119.72,140.86,false,
2019,7,angry cat,Going Streaking,Loss,93.36,127.66,false,
2019,7,Going Streaking,angry cat,Win,127.66,93.36,false,
2019,7,OBJYN,Whiskey DITKA,Loss,93.00,95.52,false,
2019,7,Whiskey DITKA,OBJYN,Win,95.52,93.00,false,
2019,8,Baker Aker FTW,Al's Team,Win,135.76,104.92,false,
2019,8,Al's Team,Baker Aker FTW,Loss,104.92,135.76,false,
2019,8,Good Times,Eric's Team,Loss,126.10,129.10,false,
2019,8,Eric's Team,Good Times,Win,129.10,126.10,false,
2019,8,angry cat,PokerA9,Win,96.38,88.58,false,
